year,enrolments,school_id,school_name
2021,341.0,52698,"Prahran High School, Windsor, VIC"
2021,383.0,44062,"Footscray Primary School, Footscray, VIC"
2021,553.8,45587,"Altona College, Altona, VIC"
2021,1551.0,50267,"Albert Park College, Albert Park, VIC"
2021,508.0,44513,"Middle Park Primary School, Middle Park, VIC"
2021,365.0,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
2021,453.3,52703,"Richmond High School, Richmond, VIC"
2022,627.0,45375,"Mount Alexander 7-12 College, Flemington, VIC"
2022,571.7,45517,"Fitzroy High School, Fitzroy North, VIC"
2022,448.6,44461,"Kensington Primary School, Kensington, VIC"
2022,525.0,44224,"Albert Park Primary School, Albert Park, VIC"
2022,555.0,44714,"Footscray North Primary School, Footscray, VIC"
2022,507.0,44378,"Footscray City Primary School, Footscray, VIC"
2022,706.0,44273,"Williamstown North Primary School, Williamstown, VIC"
2022,753.0,44515,"Yarraville West Primary School, Yarraville, VIC"
2022,119.4,44948,"Carlton Primary School, Carlton, VIC"
2022,1472.9,40427,"Williamstown High School, Williamstown, VIC"
2022,1032.7,45545,"Brunswick Secondary College, Brunswick, VIC"
2022,516.4,44225,"Williamstown Primary School, Williamstown, VIC"
2022,448.6,44461,"Kensington Primary School, Kensington, VIC"
2022,530.0,44693,"Kingsville Primary School, Yarraville, VIC"
2022,1398.5,52813,"Footscray Learning Precinct Secondary College (interim name), Footscray, VIC"
2022,1025.4,45538,"Bayside P-12 College, Williamstown, VIC"
2022,276.0,44634,"Spotswood Primary School, Spotswood, VIC"
2022,183.0,44919,"Altona North Primary School, Altona North, VIC"
2022,538.0,44044,"Newport Lakes Primary School, Newport, VIC"
2022,216.6,45797,"St John's School, Footscray, VIC"
2022,663.0,44664,"Footscray West Primary School, West Footscray, VIC"
2022,853.0,45454,"Princes Hill Secondary College, Princes Hill, VIC"
2022,1757.6,45475,"University High School, Parkville, VIC"
2022,576.0,50217,"Newport Gardens Primary School, Newport, VIC"
2022,422.0,44485,"Carlton Gardens Primary School, Carlton, VIC"
2022,343.0,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
2022,546.0,44671,"Altona Primary School, Altona, VIC"
2022,418.4,48415,"Kensington Primary School, Kensington, WA"
2022,602.2,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
2022,687.0,44843,"Wembley Primary School, Yarraville, VIC"
2022,504.6,52703,"Richmond High School, Richmond, VIC"
2022,420.0,52698,"Prahran High School, Windsor, VIC"
2022,1280.0,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
2022,313.0,52695,"South Melbourne Park Primary School, Albert Park, VIC"
2022,446.0,52915,"Docklands Primary School, Docklands, VIC"
2022,730.0,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
2022,474.0,44513,"Middle Park Primary School, Middle Park, VIC"
2022,80.6,53069,"Port Melbourne Secondary College, Port Melbourne, VIC"
2022,353.0,44062,"Footscray Primary School, Footscray, VIC"
2022,1762.4,45442,"Northcote High School, Northcote, VIC"
2022,1365.0,45360,"Braybrook College, Braybrook, VIC"
2022,802.0,44270,"North Melbourne Primary School, North Melbourne, VIC"
2022,598.0,45587,"Altona College, Altona, VIC"
2022,1559.0,50267,"Albert Park College, Albert Park, VIC"
2022,410.0,52587,"South Melbourne Primary School, Southbank, VIC"
2023,366.8,52695,"South Melbourne Park Primary School, Albert Park, VIC"
2023,729.0,44515,"Yarraville West Primary School, Yarraville, VIC"
2023,460.0,44461,"Kensington Primary School, Kensington, VIC"
2023,743.0,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
2023,482.0,44224,"Albert Park Primary School, Albert Park, VIC"
2023,240.0,45797,"St John's School, Footscray, VIC"
2023,677.0,44664,"Footscray West Primary School, West Footscray, VIC"
2023,459.0,44513,"Middle Park Primary School, Middle Park, VIC"
2023,322.0,44470,"St Kilda Park Primary School, St Kilda, VIC"
2023,471.6,44378,"Footscray City Primary School, Footscray, VIC"
2023,443.0,52587,"South Melbourne Primary School, Southbank, VIC"
2023,328.6,44062,"Footscray Primary School, Footscray, VIC"
2023,503.0,44225,"Williamstown Primary School, Williamstown, VIC"
