Net recurrent income,$ Total,$ per student,year,school_id,school_name
Total net recurrent income,2492456,9370,2014,44485,"Carlton Gardens Primary School, Carlton, VIC"
Total gross income,5314031,8585,2014,44270,"North Melbourne Primary School, North Melbourne, VIC"
Less deductions,0,0,2014,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to current capital projects,0,0,2014,44270,"North Melbourne Primary School, North Melbourne, VIC"
State / territory government recurring funding,11104282,9316,2014,45360,"Braybrook College, Braybrook, VIC"
Australian government recurrent funding,3224698,2705,2014,45360,"Braybrook College, Braybrook, VIC"
Total net recurrent income,4765637,10790,2014,48415,"Kensington Primary School, Kensington, WA"
Subtotal,0,0,2014,48415,"Kensington Primary School, Kensington, WA"
Income allocated to debt servicing,0,0,2014,48415,"Kensington Primary School, Kensington, WA"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,48415,"Kensington Primary School, Kensington, WA"
"Fees, charges and parent contributions",579310,486,2014,45360,"Braybrook College, Braybrook, VIC"
Income allocated to current capital projects,0,0,2014,48415,"Kensington Primary School, Kensington, WA"
Total gross income,4765637,10790,2014,48415,"Kensington Primary School, Kensington, WA"
Other private sources,64596,146,2014,48415,"Kensington Primary School, Kensington, WA"
"Fees, charges and parent contributions",100192,227,2014,48415,"Kensington Primary School, Kensington, WA"
State / territory government recurring funding,3949322,8942,2014,48415,"Kensington Primary School, Kensington, WA"
Australian government recurrent funding,651527,1475,2014,48415,"Kensington Primary School, Kensington, WA"
Total net recurrent income,5849364,8796,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Less deductions,0,0,2014,48415,"Kensington Primary School, Kensington, WA"
Other private sources,284578,239,2014,45360,"Braybrook College, Braybrook, VIC"
Total gross income,15192868,12746,2014,45360,"Braybrook College, Braybrook, VIC"
Less deductions,0,0,2014,45360,"Braybrook College, Braybrook, VIC"
Subtotal,0,0,2014,44378,"Footscray City Primary School, Footscray, VIC"
Income allocated to debt servicing,0,0,2014,44378,"Footscray City Primary School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44378,"Footscray City Primary School, Footscray, VIC"
Income allocated to current capital projects,0,0,2014,44378,"Footscray City Primary School, Footscray, VIC"
Less deductions,0,0,2014,44378,"Footscray City Primary School, Footscray, VIC"
Total gross income,1955861,9878,2014,44378,"Footscray City Primary School, Footscray, VIC"
Other private sources,61372,310,2014,44378,"Footscray City Primary School, Footscray, VIC"
"Fees, charges and parent contributions",78723,398,2014,44378,"Footscray City Primary School, Footscray, VIC"
State / territory government recurring funding,1474133,7445,2014,44378,"Footscray City Primary School, Footscray, VIC"
Australian government recurrent funding,341634,1725,2014,44378,"Footscray City Primary School, Footscray, VIC"
Total net recurrent income,15192868,12746,2014,45360,"Braybrook College, Braybrook, VIC"
Subtotal,0,0,2014,45360,"Braybrook College, Braybrook, VIC"
Income allocated to debt servicing,0,0,2014,45360,"Braybrook College, Braybrook, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,45360,"Braybrook College, Braybrook, VIC"
Income allocated to current capital projects,0,0,2014,45360,"Braybrook College, Braybrook, VIC"
Subtotal,0,0,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to debt servicing,0,0,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to current capital projects,0,0,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
"Fees, charges and parent contributions",244903,521,2014,44224,"Albert Park Primary School, Albert Park, VIC"
Other private sources,256669,546,2014,44224,"Albert Park Primary School, Albert Park, VIC"
Total gross income,4031996,8579,2014,44224,"Albert Park Primary School, Albert Park, VIC"
Less deductions,0,0,2014,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to current capital projects,0,0,2014,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to debt servicing,0,0,2014,44224,"Albert Park Primary School, Albert Park, VIC"
Subtotal,0,0,2014,44224,"Albert Park Primary School, Albert Park, VIC"
Total net recurrent income,4031996,8579,2014,44224,"Albert Park Primary School, Albert Park, VIC"
State / territory government recurring funding,3942973,6113,2014,44273,"Williamstown North Primary School, Williamstown, VIC"
Total net recurrent income,5207880,16429,2014,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Total net recurrent income,5314031,8585,2014,44270,"North Melbourne Primary School, North Melbourne, VIC"
Subtotal,0,0,2014,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to debt servicing,0,0,2014,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,44270,"North Melbourne Primary School, North Melbourne, VIC"
State / territory government recurring funding,2857771,6080,2014,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2014,45587,"Altona College, Altona, VIC"
Australian government recurrent funding,672653,1431,2014,44224,"Albert Park Primary School, Albert Park, VIC"
Subtotal,0,0,2014,50217,"Newport Gardens Primary School, Newport, VIC"
Less deductions,0,0,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Total gross income,5849364,8796,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Other private sources,421422,634,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
"Fees, charges and parent contributions",390825,588,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
State / territory government recurring funding,4104207,6172,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Australian government recurrent funding,932911,1403,2014,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
