Net recurrent income,$ Total,$ per student,year,school_id,school_name
State / territory government recurring funding,2580423,6419,2015,44044,"Newport Lakes Primary School, Newport, VIC"
"Fees, charges and parent contributions",251136,625,2015,44044,"Newport Lakes Primary School, Newport, VIC"
Other private sources,117215,292,2015,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to debt servicing,31006,169,2015,45797,"St John's School, Footscray, VIC"
Total gross income,3575445,8894,2015,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to current capital projects,0,0,2015,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44044,"Newport Lakes Primary School, Newport, VIC"
Income allocated to debt servicing,0,0,2015,44044,"Newport Lakes Primary School, Newport, VIC"
Subtotal,0,0,2015,44044,"Newport Lakes Primary School, Newport, VIC"
Total net recurrent income,3575445,8894,2015,44044,"Newport Lakes Primary School, Newport, VIC"
Australian government recurrent funding,524330,1542,2015,44485,"Carlton Gardens Primary School, Carlton, VIC"
Less deductions,0,0,2015,44044,"Newport Lakes Primary School, Newport, VIC"
Australian government recurrent funding,928975,1621,2015,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,17910,98,2015,45797,"St John's School, Footscray, VIC"
Less deductions,189459,1035,2015,45797,"St John's School, Footscray, VIC"
"Fees, charges and parent contributions",331465,578,2015,44664,"Footscray West Primary School, West Footscray, VIC"
Other private sources,113477,198,2015,44664,"Footscray West Primary School, West Footscray, VIC"
Total gross income,5143588,8977,2015,44664,"Footscray West Primary School, West Footscray, VIC"
Less deductions,0,0,2015,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to current capital projects,0,0,2015,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44664,"Footscray West Primary School, West Footscray, VIC"
Income allocated to current capital projects,140543,768,2015,45797,"St John's School, Footscray, VIC"
Income allocated to debt servicing,0,0,2015,44664,"Footscray West Primary School, West Footscray, VIC"
Total net recurrent income,5143588,8977,2015,44664,"Footscray West Primary School, West Footscray, VIC"
Australian government recurrent funding,1752146,9575,2015,45797,"St John's School, Footscray, VIC"
State / territory government recurring funding,541166,2957,2015,45797,"St John's School, Footscray, VIC"
"Fees, charges and parent contributions",207946,1136,2015,45797,"St John's School, Footscray, VIC"
Other private sources,37536,205,2015,45797,"St John's School, Footscray, VIC"
Total gross income,2538794,13873,2015,45797,"St John's School, Footscray, VIC"
Subtotal,0,0,2015,44664,"Footscray West Primary School, West Footscray, VIC"
Australian government recurrent funding,809917,2043,2015,44062,"Footscray Primary School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44378,"Footscray City Primary School, Footscray, VIC"
Less deductions,0,0,2015,44378,"Footscray City Primary School, Footscray, VIC"
"Fees, charges and parent contributions",1565331,1771,2015,50267,"Albert Park College, Albert Park, VIC"
State / territory government recurring funding,6673226,7549,2015,50267,"Albert Park College, Albert Park, VIC"
Australian government recurrent funding,1643223,1859,2015,50267,"Albert Park College, Albert Park, VIC"
Total net recurrent income,3483475,9607,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Subtotal,0,0,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Income allocated to debt servicing,0,0,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Other private sources,665505,753,2015,50267,"Albert Park College, Albert Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Less deductions,0,0,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Total gross income,3483475,9607,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Other private sources,51449,142,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
"Fees, charges and parent contributions",157405,434,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
State / territory government recurring funding,2622165,7232,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Australian government recurrent funding,652457,1799,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Income allocated to current capital projects,0,0,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC"
Total net recurrent income,4449168,9308,2015,44513,"Middle Park Primary School, Middle Park, VIC"
Total gross income,10547284,11931,2015,50267,"Albert Park College, Albert Park, VIC"
Income allocated to current capital projects,0,0,2015,50267,"Albert Park College, Albert Park, VIC"
Subtotal,0,0,2015,45587,"Altona College, Altona, VIC"
Income allocated to debt servicing,0,0,2015,45587,"Altona College, Altona, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,45587,"Altona College, Altona, VIC"
Income allocated to current capital projects,0,0,2015,45587,"Altona College, Altona, VIC"
Less deductions,0,0,2015,45587,"Altona College, Altona, VIC"
Total gross income,3417815,15721,2015,45587,"Altona College, Altona, VIC"
Less deductions,0,0,2015,50267,"Albert Park College, Albert Park, VIC"
Other private sources,100784,464,2015,45587,"Altona College, Altona, VIC"
State / territory government recurring funding,2497766,11489,2015,45587,"Altona College, Altona, VIC"
Australian government recurrent funding,618956,2847,2015,45587,"Altona College, Altona, VIC"
Total net recurrent income,10547284,11931,2015,50267,"Albert Park College, Albert Park, VIC"
Subtotal,0,0,2015,50267,"Albert Park College, Albert Park, VIC"
Income allocated to debt servicing,0,0,2015,50267,"Albert Park College, Albert Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,50267,"Albert Park College, Albert Park, VIC"
"Fees, charges and parent contributions",200310,921,2015,45587,"Altona College, Altona, VIC"
Income allocated to current capital projects,0,0,2015,44378,"Footscray City Primary School, Footscray, VIC"
Subtotal,0,0,2015,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44513,"Middle Park Primary School, Middle Park, VIC"
Other private sources,993928,722,2015,45475,"University High School, Parkville, VIC"
Total gross income,17405363,12637,2015,45475,"University High School, Parkville, VIC"
Less deductions,0,0,2015,45475,"University High School, Parkville, VIC"
Income allocated to current capital projects,0,0,2015,45475,"University High School, Parkville, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,45475,"University High School, Parkville, VIC"
Income allocated to debt servicing,0,0,2015,45475,"University High School, Parkville, VIC"
"Fees, charges and parent contributions",1200278,871,2015,45475,"University High School, Parkville, VIC"
Subtotal,0,0,2015,45475,"University High School, Parkville, VIC"
Total net recurrent income,5911595,8605,2015,44843,"Wembley Primary School, Yarraville, VIC"
Australian government recurrent funding,466944,1808,2015,44378,"Footscray City Primary School, Footscray, VIC"
State / territory government recurring funding,1797272,6961,2015,44378,"Footscray City Primary School, Footscray, VIC"
"Fees, charges and parent contributions",131076,508,2015,44378,"Footscray City Primary School, Footscray, VIC"
Other private sources,69628,270,2015,44378,"Footscray City Primary School, Footscray, VIC"
Total gross income,2464920,9547,2015,44378,"Footscray City Primary School, Footscray, VIC"
Total net recurrent income,17405363,12637,2015,45475,"University High School, Parkville, VIC"
Income allocated to debt servicing,0,0,2015,44513,"Middle Park Primary School, Middle Park, VIC"
State / territory government recurring funding,12152813,8824,2015,45475,"University High School, Parkville, VIC"
Australian government recurrent funding,1189902,2217,2015,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to current capital projects,0,0,2015,44513,"Middle Park Primary School, Middle Park, VIC"
Less deductions,0,0,2015,44513,"Middle Park Primary School, Middle Park, VIC"
Total gross income,4449168,9308,2015,44513,"Middle Park Primary School, Middle Park, VIC"
Other private sources,203593,426,2015,44513,"Middle Park Primary School, Middle Park, VIC"
"Fees, charges and parent contributions",378624,792,2015,44513,"Middle Park Primary School, Middle Park, VIC"
State / territory government recurring funding,3095088,6475,2015,44513,"Middle Park Primary School, Middle Park, VIC"
Australian government recurrent funding,3058344,2221,2015,45475,"University High School, Parkville, VIC"
Australian government recurrent funding,771863,1615,2015,44513,"Middle Park Primary School, Middle Park, VIC"
Income allocated to current capital projects,0,0,2015,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to debt servicing,0,0,2015,44919,"Altona North Primary School, Altona North, VIC"
Total gross income,6716515,12512,2015,45517,"Fitzroy High School, Fitzroy North, VIC"
Other private sources,178967,333,2015,45517,"Fitzroy High School, Fitzroy North, VIC"
"Fees, charges and parent contributions",596953,1112,2015,45517,"Fitzroy High School, Fitzroy North, VIC"
State / territory government recurring funding,4750694,8850,2015,45517,"Fitzroy High School, Fitzroy North, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,45517,"Fitzroy High School, Fitzroy North, VIC"
Australian government recurrent funding,1118105,1613,2015,44273,"Williamstown North Primary School, Williamstown, VIC"
Other private sources,367408,783,2015,44461,"Kensington Primary School, Kensington, VIC"
Total net recurrent income,2986073,12707,2015,44919,"Altona North Primary School, Altona North, VIC"
State / territory government recurring funding,3185216,6792,2015,44461,"Kensington Primary School, Kensington, VIC"
"Fees, charges and parent contributions",285847,609,2015,44461,"Kensington Primary School, Kensington, VIC"
Other private sources,367408,783,2015,44461,"Kensington Primary School, Kensington, VIC"
Total gross income,4725034,10075,2015,44461,"Kensington Primary School, Kensington, VIC"
Less deductions,0,0,2015,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to current capital projects,0,0,2015,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44461,"Kensington Primary School, Kensington, VIC"
Australian government recurrent funding,886563,1890,2015,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to debt servicing,0,0,2015,44461,"Kensington Primary School, Kensington, VIC"
Total net recurrent income,4725034,10075,2015,44461,"Kensington Primary School, Kensington, VIC"
Income allocated to debt servicing,0,0,2015,45538,"Bayside P-12 College, Williamstown, VIC"
Subtotal,0,0,2015,45538,"Bayside P-12 College, Williamstown, VIC"
Australian government recurrent funding,694717,2178,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC"
State / territory government recurring funding,2706820,8485,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Total net recurrent income,14345601,15053,2015,45538,"Bayside P-12 College, Williamstown, VIC"
Subtotal,0,0,2015,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Subtotal,0,0,2015,44461,"Kensington Primary School, Kensington, VIC"
Subtotal,0,0,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Subtotal,0,0,2015,44843,"Wembley Primary School, Yarraville, VIC"
Income allocated to debt servicing,0,0,2015,44843,"Wembley Primary School, Yarraville, VIC"
Total gross income,3795534,11898,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Other private sources,208589,654,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC"
"Fees, charges and parent contributions",185409,581,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Australian government recurrent funding,2684950,2817,2015,45538,"Bayside P-12 College, Williamstown, VIC"
State / territory government recurring funding,10636458,11161,2015,45538,"Bayside P-12 College, Williamstown, VIC"
"Fees, charges and parent contributions",738906,775,2015,45538,"Bayside P-12 College, Williamstown, VIC"
Other private sources,285287,299,2015,45538,"Bayside P-12 College, Williamstown, VIC"
Total gross income,14345601,15053,2015,45538,"Bayside P-12 College, Williamstown, VIC"
Less deductions,0,0,2015,45538,"Bayside P-12 College, Williamstown, VIC"
Income allocated to current capital projects,0,0,2015,45538,"Bayside P-12 College, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,45538,"Bayside P-12 College, Williamstown, VIC"
"Fees, charges and parent contributions",473474,689,2015,44843,"Wembley Primary School, Yarraville, VIC"
Other private sources,127325,185,2015,44843,"Wembley Primary School, Yarraville, VIC"
Total gross income,5911595,8605,2015,44843,"Wembley Primary School, Yarraville, VIC"
Less deductions,0,0,2015,44843,"Wembley Primary School, Yarraville, VIC"
Income allocated to current capital projects,0,0,2015,44843,"Wembley Primary School, Yarraville, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44843,"Wembley Primary School, Yarraville, VIC"
Income allocated to debt servicing,0,0,2015,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
State / territory government recurring funding,4247676,6183,2015,44843,"Wembley Primary School, Yarraville, VIC"
Subtotal,0,0,2015,44919,"Altona North Primary School, Altona North, VIC"
Income allocated to current capital projects,0,0,2015,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,48415,"Kensington Primary School, Kensington, WA"
Income allocated to debt servicing,0,0,2015,48415,"Kensington Primary School, Kensington, WA"
Subtotal,0,0,2015,48415,"Kensington Primary School, Kensington, WA"
Total net recurrent income,5064791,11265,2015,48415,"Kensington Primary School, Kensington, WA"
Australian government recurrent funding,1192272,1624,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
State / territory government recurring funding,4639861,6321,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
"Fees, charges and parent contributions",360861,492,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to current capital projects,0,0,2015,48415,"Kensington Primary School, Kensington, WA"
Other private sources,295716,403,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Less deductions,0,0,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to current capital projects,0,0,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Income allocated to debt servicing,0,0,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Subtotal,0,0,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Total net recurrent income,6488710,8840,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Total net recurrent income,19303176,16882,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Total gross income,6488710,8840,2015,44531,"Port Melbourne Primary School, Port Melbourne, VIC"
Less deductions,0,0,2015,48415,"Kensington Primary School, Kensington, WA"
Total gross income,5064791,11265,2015,48415,"Kensington Primary School, Kensington, WA"
Other private sources,91733,204,2015,48415,"Kensington Primary School, Kensington, WA"
Less deductions,0,0,2015,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Total gross income,5200105,8609,2015,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Other private sources,183782,304,2015,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
"Fees, charges and parent contributions",220890,366,2015,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
State / territory government recurring funding,3794302,6282,2015,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Australian government recurrent funding,1001131,1658,2015,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Australian government recurrent funding,3382513,2958,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
State / territory government recurring funding,13982536,12229,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
"Fees, charges and parent contributions",1152879,1008,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Other private sources,785248,687,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Total gross income,19303176,16882,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Less deductions,0,0,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Income allocated to current capital projects,0,0,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Australian government recurrent funding,709170,1577,2015,48415,"Kensington Primary School, Kensington, WA"
State / territory government recurring funding,4163895,9261,2015,48415,"Kensington Primary School, Kensington, WA"
"Fees, charges and parent contributions",99993,222,2015,48415,"Kensington Primary School, Kensington, WA"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Australian government recurrent funding,1063120,1547,2015,44843,"Wembley Primary School, Yarraville, VIC"
Income allocated to debt servicing,0,0,2015,45420,"Maribyrnong Secondary College, Maribyrnong, VIC"
Other private sources,139067,106,2015,45360,"Braybrook College, Braybrook, VIC"
Income allocated to debt servicing,0,0,2015,44270,"North Melbourne Primary School, North Melbourne, VIC"
Less deductions,0,0,2015,45360,"Braybrook College, Braybrook, VIC"
Total gross income,17162055,13075,2015,45360,"Braybrook College, Braybrook, VIC"
"Fees, charges and parent contributions",2963911,1800,2015,45442,"Northcote High School, Northcote, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44270,"North Melbourne Primary School, North Melbourne, VIC"
"Fees, charges and parent contributions",644595,491,2015,45360,"Braybrook College, Braybrook, VIC"
Subtotal,0,0,2015,44270,"North Melbourne Primary School, North Melbourne, VIC"
State / territory government recurring funding,12657773,9643,2015,45360,"Braybrook College, Braybrook, VIC"
State / territory government recurring funding,2553998,6866,2015,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44224,"Albert Park Primary School, Albert Park, VIC"
Other private sources,140324,377,2015,50217,"Newport Gardens Primary School, Newport, VIC"
Total gross income,3537392,9509,2015,50217,"Newport Gardens Primary School, Newport, VIC"
Less deductions,0,0,2015,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to current capital projects,0,0,2015,50217,"Newport Gardens Primary School, Newport, VIC"
Australian government recurrent funding,684237,1839,2015,50217,"Newport Gardens Primary School, Newport, VIC"
Total net recurrent income,5726356,9061,2015,44270,"North Melbourne Primary School, North Melbourne, VIC"
Australian government recurrent funding,2865185,1740,2015,45442,"Northcote High School, Northcote, VIC"
Australian government recurrent funding,780210,1521,2015,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to debt servicing,0,0,2015,44224,"Albert Park Primary School, Albert Park, VIC"
Subtotal,0,0,2015,44224,"Albert Park Primary School, Albert Park, VIC"
Total net recurrent income,4473753,8721,2015,44224,"Albert Park Primary School, Albert Park, VIC"
State / territory government recurring funding,11877519,7212,2015,45442,"Northcote High School, Northcote, VIC"
Total net recurrent income,17162055,13075,2015,45360,"Braybrook College, Braybrook, VIC"
Subtotal,0,0,2015,45360,"Braybrook College, Braybrook, VIC"
Income allocated to debt servicing,0,0,2015,45360,"Braybrook College, Braybrook, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,45360,"Braybrook College, Braybrook, VIC"
Income allocated to current capital projects,0,0,2015,45360,"Braybrook College, Braybrook, VIC"
Income allocated to current capital projects,0,0,2015,44224,"Albert Park Primary School, Albert Park, VIC"
Less deductions,0,0,2015,44224,"Albert Park Primary School, Albert Park, VIC"
Total gross income,4473753,8721,2015,44224,"Albert Park Primary School, Albert Park, VIC"
Other private sources,272841,532,2015,44224,"Albert Park Primary School, Albert Park, VIC"
"Fees, charges and parent contributions",302776,590,2015,44224,"Albert Park Primary School, Albert Park, VIC"
State / territory government recurring funding,3117926,6078,2015,44224,"Albert Park Primary School, Albert Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,50217,"Newport Gardens Primary School, Newport, VIC"
Income allocated to debt servicing,0,0,2015,50217,"Newport Gardens Primary School, Newport, VIC"
"Fees, charges and parent contributions",158833,427,2015,50217,"Newport Gardens Primary School, Newport, VIC"
Total net recurrent income,3537392,9509,2015,50217,"Newport Gardens Primary School, Newport, VIC"
Australian government recurrent funding,1116392,1766,2015,44270,"North Melbourne Primary School, North Melbourne, VIC"
Other private sources,417832,254,2015,45442,"Northcote High School, Northcote, VIC"
Total gross income,18124446,11005,2015,45442,"Northcote High School, Northcote, VIC"
Subtotal,0,0,2015,50217,"Newport Gardens Primary School, Newport, VIC"
Subtotal,0,0,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to debt servicing,0,0,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC"
State / territory government recurring funding,4057066,6419,2015,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to current capital projects,0,0,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Less deductions,0,0,2015,45442,"Northcote High School, Northcote, VIC"
Income allocated to current capital projects,0,0,2015,45442,"Northcote High School, Northcote, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,45442,"Northcote High School, Northcote, VIC"
Income allocated to debt servicing,0,0,2015,45442,"Northcote High School, Northcote, VIC"
Subtotal,0,0,2015,45442,"Northcote High School, Northcote, VIC"
Total net recurrent income,18124446,11005,2015,45442,"Northcote High School, Northcote, VIC"
Total net recurrent income,5200105,8609,2015,44558,"Ocean Grove Primary School, Ocean Grove, VIC"
Less deductions,0,0,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC"
"Fees, charges and parent contributions",366011,579,2015,44270,"North Melbourne Primary School, North Melbourne, VIC"
Total net recurrent income,3795534,11898,2015,45375,"Mount Alexander 7-12 College, Flemington, VIC"
Total gross income,5726356,9061,2015,44270,"North Melbourne Primary School, North Melbourne, VIC"
Australian government recurrent funding,3720620,2835,2015,45360,"Braybrook College, Braybrook, VIC"
Total net recurrent income,6276677,9057,2015,44273,"Williamstown North Primary School, Williamstown, VIC"
Other private sources,186887,296,2015,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to debt servicing,0,0,2015,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2015,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2015,44273,"Williamstown North Primary School, Williamstown, VIC"
Less deductions,0,0,2015,44273,"Williamstown North Primary School, Williamstown, VIC"
Subtotal,0,0,2015,44273,"Williamstown North Primary School, Williamstown, VIC"
Total gross income,6276677,9057,2015,44273,"Williamstown North Primary School, Williamstown, VIC"
Other private sources,425478,614,2015,44273,"Williamstown North Primary School, Williamstown, VIC"
"Fees, charges and parent contributions",454620,656,2015,44273,"Williamstown North Primary School, Williamstown, VIC"
State / territory government recurring funding,4278474,6174,2015,44273,"Williamstown North Primary School, Williamstown, VIC"
Income allocated to current capital projects,0,0,2015,44270,"North Melbourne Primary School, North Melbourne, VIC"
Less deductions,0,0,2015,44270,"North Melbourne Primary School, North Melbourne, VIC"
Income allocated to current capital projects,0,0,2016,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,45442,"Northcote High School, Northcote, VIC"
Income allocated to current capital projects,0,0,2016,45442,"Northcote High School, Northcote, VIC"
Less deductions,0,0,2016,45442,"Northcote High School, Northcote, VIC"
Total gross income,19091691,11398,2016,45442,"Northcote High School, Northcote, VIC"
Other private sources,833347,498,2016,45442,"Northcote High School, Northcote, VIC"
Australian government recurrent funding,3112498,1858,2016,45442,"Northcote High School, Northcote, VIC"
State / territory government recurring funding,12325875,7359,2016,45442,"Northcote High School, Northcote, VIC"
Less deductions,0,0,2016,40427,"Williamstown High School, Williamstown, VIC"
"Fees, charges and parent contributions",2081887,1415,2016,40427,"Williamstown High School, Williamstown, VIC"
Other private sources,848740,577,2016,40427,"Williamstown High School, Williamstown, VIC"
Total gross income,18225983,12385,2016,40427,"Williamstown High School, Williamstown, VIC"
"Fees, charges and parent contributions",2819972,1684,2016,45442,"Northcote High School, Northcote, VIC"
Income allocated to debt servicing,0,0,2016,45442,"Northcote High School, Northcote, VIC"
State / territory government recurring funding,2441782,6798,2016,44485,"Carlton Gardens Primary School, Carlton, VIC"
Total net recurrent income,19091691,11398,2016,45442,"Northcote High School, Northcote, VIC"
Australian government recurrent funding,3070369,2086,2016,40427,"Williamstown High School, Williamstown, VIC"
State / territory government recurring funding,12224988,8307,2016,40427,"Williamstown High School, Williamstown, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,40427,"Williamstown High School, Williamstown, VIC"
Total net recurrent income,18556187,13027,2016,45475,"University High School, Parkville, VIC"
Subtotal,0,0,2016,45475,"University High School, Parkville, VIC"
Income allocated to debt servicing,0,0,2016,45475,"University High School, Parkville, VIC"
Subtotal,0,0,2016,45442,"Northcote High School, Northcote, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,45475,"University High School, Parkville, VIC"
Less deductions,0,0,2016,45475,"University High School, Parkville, VIC"
Total gross income,18556187,13027,2016,45475,"University High School, Parkville, VIC"
Other private sources,794660,558,2016,45475,"University High School, Parkville, VIC"
"Fees, charges and parent contributions",1710495,1201,2016,45475,"University High School, Parkville, VIC"
State / territory government recurring funding,12733009,8939,2016,45475,"University High School, Parkville, VIC"
Australian government recurrent funding,3318023,2329,2016,45475,"University High School, Parkville, VIC"
Income allocated to current capital projects,0,0,2016,45475,"University High School, Parkville, VIC"
Income allocated to debt servicing,0,0,2016,40427,"Williamstown High School, Williamstown, VIC"
Total net recurrent income,4913911,9360,2016,44513,"Middle Park Primary School, Middle Park, VIC"
Total net recurrent income,18225983,12385,2016,40427,"Williamstown High School, Williamstown, VIC"
Total net recurrent income,14038551,13551,2016,50267,"Albert Park College, Albert Park, VIC"
Subtotal,0,0,2016,50267,"Albert Park College, Albert Park, VIC"
Income allocated to debt servicing,0,0,2016,50267,"Albert Park College, Albert Park, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,50267,"Albert Park College, Albert Park, VIC"
Income allocated to current capital projects,0,0,2016,50267,"Albert Park College, Albert Park, VIC"
Less deductions,0,0,2016,50267,"Albert Park College, Albert Park, VIC"
Total gross income,14038551,13551,2016,50267,"Albert Park College, Albert Park, VIC"
Other private sources,644222,622,2016,50267,"Albert Park College, Albert Park, VIC"
"Fees, charges and parent contributions",2279228,2200,2016,50267,"Albert Park College, Albert Park, VIC"
State / territory government recurring funding,8887718,8579,2016,50267,"Albert Park College, Albert Park, VIC"
Australian government recurrent funding,2227383,2150,2016,50267,"Albert Park College, Albert Park, VIC"
Total net recurrent income,3608540,14948,2016,45587,"Altona College, Altona, VIC"
Subtotal,0,0,2016,45587,"Altona College, Altona, VIC"
Income allocated to debt servicing,0,0,2016,45587,"Altona College, Altona, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,45587,"Altona College, Altona, VIC"
Australian government recurrent funding,807624,1954,2016,44062,"Footscray Primary School, Footscray, VIC"
State / territory government recurring funding,3182748,7699,2016,44062,"Footscray Primary School, Footscray, VIC"
"Fees, charges and parent contributions",253335,613,2016,44062,"Footscray Primary School, Footscray, VIC"
Other private sources,66879,162,2016,44062,"Footscray Primary School, Footscray, VIC"
Australian government recurrent funding,643737,1792,2016,44485,"Carlton Gardens Primary School, Carlton, VIC"
Other private sources,73264,204,2016,44485,"Carlton Gardens Primary School, Carlton, VIC"
Total gross income,3422248,9527,2016,44485,"Carlton Gardens Primary School, Carlton, VIC"
Less deductions,0,0,2016,44485,"Carlton Gardens Primary School, Carlton, VIC"
Income allocated to current capital projects,0,0,2016,44485,"Carlton Gardens Primary School, Carlton, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,44485,"Carlton Gardens Primary School, Carlton, VIC"
Income allocated to debt servicing,0,0,2016,44485,"Carlton Gardens Primary School, Carlton, VIC"
Less deductions,0,0,2016,45587,"Altona College, Altona, VIC"
Subtotal,0,0,2016,44485,"Carlton Gardens Primary School, Carlton, VIC"
Total net recurrent income,4310586,10427,2016,44062,"Footscray Primary School, Footscray, VIC"
Subtotal,0,0,2016,44062,"Footscray Primary School, Footscray, VIC"
Income allocated to debt servicing,0,0,2016,44062,"Footscray Primary School, Footscray, VIC"
Income allocated to future capital projects and diocesan capital funds,0,0,2016,44062,"Footscray Primary School, Footscray, VIC"
Income allocated to current capital projects,0,0,2016,44062,"Footscray Primary School, Footscray, VIC"
Less deductions,0,0,2016,44062,"Footscray Primary School, Footscray, VIC"
